estimator,covid,controls,dep,dropped_state,n,debt_coef,t,debt_p_bootstrap
Pooled,keep COVID year,Census controls,ihs_fdi,Uttar Pradesh,45,-0.18060277001101524,-2.400723791002921,0.16108054027013508
Pooled,keep COVID year,Census controls,ihs_fdi,West Bengal,43,-0.17909508955559908,-1.9312985664602604,0.2656328164082041
Pooled,drop COVID year,no controls,log_fdi,none,39,-0.2455347132552043,-3.954733584459512,0.0030015007503751876
Pooled,drop COVID year,no controls,log_fdi,Gujarat,35,-0.240081913563838,-3.507594253452376,0.010005002501250625
Pooled,drop COVID year,no controls,log_fdi,Haryana,35,-0.2653403994202751,-4.3229020838216865,0.0010005002501250625
Pooled,drop COVID year,no controls,log_fdi,Jharkhand,35,-0.1884251735577069,-5.51845894304289,0.0
Pooled,drop COVID year,no controls,log_fdi,Karnataka,35,-0.1941081857679507,-3.309526381522246,0.0030015007503751876
Pooled,drop COVID year,no controls,log_fdi,Maharashtra,35,-0.25815861926700107,-3.6888768876745126,0.007003501750875438
Pooled,drop COVID year,no controls,log_fdi,Rajasthan,35,-0.2322344087093135,-3.5748473608161224,0.014007003501750876
Pooled,drop COVID year,no controls,log_fdi,Tamil Nadu,35,-0.2658597551883427,-4.139059666752739,0.0015007503751875938
Pooled,drop COVID year,no controls,log_fdi,Telangana,35,-0.25349599396090017,-3.9221378150003563,0.0065032516258129065
Pooled,drop COVID year,no controls,log_fdi,Uttar Pradesh,36,-0.26189606061104,-3.2412639957549354,0.007503751875937969
Pooled,drop COVID year,no controls,log_fdi,West Bengal,35,-0.26898949143733575,-4.100020398294584,0.01950975487743872
Pooled,drop COVID year,no controls,ihs_fdi,none,39,-0.24553324845645003,-3.9547773469903835,0.0025012506253126563
Pooled,drop COVID year,no controls,ihs_fdi,Gujarat,35,-0.24008071032611303,-3.507632246241757,0.01200600300150075
Pooled,drop COVID year,no controls,ihs_fdi,Haryana,35,-0.26533846510379033,-4.322943461856338,0.0010005002501250625
Pooled,drop COVID year,no controls,ihs_fdi,Jharkhand,35,-0.18842529987431947,-5.518417373414905,0.0
Pooled,drop COVID year,no controls,ihs_fdi,Karnataka,35,-0.1941066405791042,-3.3095890420562823,0.0
Pooled,drop COVID year,no controls,ihs_fdi,Maharashtra,35,-0.25815683022585545,-3.688909680162356,0.005502751375687844
Pooled,drop COVID year,no controls,ihs_fdi,Rajasthan,35,-0.23223359316312786,-3.5748874322584063,0.017508754377188594
Pooled,drop COVID year,no controls,ihs_fdi,Tamil Nadu,35,-0.26585817509953635,-4.139117620906314,0.0025012506253126563
Pooled,drop COVID year,no controls,ihs_fdi,Telangana,35,-0.2534947918254554,-3.9221935989086796,0.0080040020010005
Pooled,drop COVID year,no controls,ihs_fdi,Uttar Pradesh,36,-0.2618934177178304,-3.2412832574681474,0.006003001500750375
Pooled,drop COVID year,no controls,ihs_fdi,West Bengal,35,-0.26898742221742855,-4.100062163314018,0.013006503251625813
Pooled,drop COVID year,Census controls,log_fdi,none,39,-0.17411684139134492,-2.2113464777524308,0.1265632816408204
Pooled,drop COVID year,Census controls,log_fdi,Gujarat,35,-0.19391963104988894,-2.1491410801934125,0.16558279139569784
Pooled,drop COVID year,Census controls,log_fdi,Haryana,35,-0.19769648225298947,-2.4673798465830052,0.08104052026013006
Pooled,drop COVID year,Census controls,log_fdi,Jharkhand,35,-0.14473451061050557,-2.821258640342404,0.1340670335167584
Pooled,drop COVID year,Census controls,log_fdi,Karnataka,35,-0.08662672886269616,-1.278659482453342,0.14307153576788395
Pooled,drop COVID year,Census controls,log_fdi,Maharashtra,35,-0.21761524812153196,-2.5815330078960765,0.15057528764382191
Pooled,drop COVID year,Census controls,log_fdi,Rajasthan,35,-0.1890525565852531,-2.1869145192840835,0.10505252626313157
Pooled,drop COVID year,Census controls,log_fdi,Tamil Nadu,35,-0.13850751625914906,-1.924242663607006,0.2861430715357679
Pooled,drop COVID year,Census controls,log_fdi,Telangana,35,-0.19141998799022422,-2.078024906891381,0.17058529264632316
Pooled,drop COVID year,Census controls,log_fdi,Uttar Pradesh,36,-0.1804511000195833,-1.9589923074461741,0.21510755377688845
Pooled,drop COVID year,Census controls,log_fdi,West Bengal,35,-0.1738651830537949,-1.7296386003537154,0.27763881940970486
Pooled,drop COVID year,Census controls,ihs_fdi,none,39,-0.17411657618958512,-2.2113750660039067,0.11155577788894447
Pooled,drop COVID year,Census controls,ihs_fdi,Gujarat,35,-0.19391862453081377,-2.1491657287000137,0.1455727863931966
Pooled,drop COVID year,Census controls,ihs_fdi,Haryana,35,-0.19769571175080977,-2.467404242934073,0.0785392696348174
Pooled,drop COVID year,Census controls,ihs_fdi,Jharkhand,35,-0.14473548551011942,-2.821261297754349,0.13356678339169584
Pooled,drop COVID year,Census controls,ihs_fdi,Karnataka,35,-0.08662662738318776,-1.278691052750906,0.12506253126563283
Pooled,drop COVID year,Census controls,ihs_fdi,Maharashtra,35,-0.21761334028163,-2.5815294523774543,0.1485742871435718
Pooled,drop COVID year,Census controls,ihs_fdi,Rajasthan,35,-0.18905204830690356,-2.186949879394738,0.10505252626313157
Pooled,drop COVID year,Census controls,ihs_fdi,Tamil Nadu,35,-0.13850857605257247,-1.9242928243005046,0.29314657328664334
Pooled,drop COVID year,Census controls,ihs_fdi,Telangana,35,-0.19141984219045216,-2.0780645050259006,0.17658829414707353
Pooled,drop COVID year,Census controls,ihs_fdi,Uttar Pradesh,36,-0.18045015038121737,-1.9590092460485957,0.2016008004002001
Pooled,drop COVID year,Census controls,ihs_fdi,West Bengal,35,-0.17386490016363432,-1.729666368145576,0.28864432216108055
